call_oi,call_change_oi,call_volume,call_iv,call_ltp,call_change,call_bid_qty,call_bid,call_ask,call_ask_qty,strike,put_bid_qty,put_bid,put_ask,put_ask_qty,put_change,put_ltp,put_iv,put_volume,put_change_oi,put_oi,expiry,expiry_valid,is_holiday,call_data_available,put_data_available,data_quality,spot_price,valuation_date,days_to_expiry,T
3344.0,15.0,11877.0,20.51,0.85,-0.15,14820,0.85,1.15,650,25850.0,780,1679.9,1756.4,65,,1598.0,,,,13.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
15075.0,161.0,29254.0,21.38,1.0,,1820,0.85,1.0,650,25900.0,780,1736.85,1835.05,130,,1520.0,32.26,,,67.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
3728.0,41.0,6855.0,21.52,0.85,-0.1,9750,0.8,0.9,1495,25950.0,845,1820.0,1885.35,780,491.75,1816.75,,1.0,,2.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
121204.0,-2422.0,168865.0,21.89,0.8,-0.15,98020,0.8,0.85,19500,26000.0,65,1882.05,1889.35,65,123.15,1893.4,32.36,2256.0,-1797.0,33012.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
3290.0,-33.0,5556.0,22.24,0.75,-0.1,37440,0.75,0.8,9100,26050.0,780,1876.2,1985.6,65,,1762.0,,,,4.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
4878.0,92.0,8426.0,22.58,0.7,-0.1,16055,0.7,0.8,6110,26100.0,780,1932.55,2005.05,195,162.75,1990.75,32.61,2.0,-2.0,413.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
1473.0,,4689.0,23.07,0.7,-0.1,6045,0.7,1.0,650,26150.0,1690,1905.1,2126.25,780,,,,,,,2026-08-25,True,False,True,False,Missing put LTP,24154.900390625,2026-08-18,7,0.019178082191780823
6578.0,43.0,15415.0,23.56,0.7,-0.05,3185,0.7,0.8,3900,26200.0,780,2067.9,2102.2,65,128.8,2083.0,29.1,4.0,-4.0,674.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
1384.0,-69.0,1651.0,24.36,0.8,0.1,2470,0.7,0.8,130,26250.0,780,2077.65,2173.05,65,160.8,2145.8,36.84,1.0,-1.0,1.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
12182.0,-686.0,15039.0,24.69,0.75,0.05,455,0.75,0.85,520,26300.0,650,2178.8,2195.7,325,155.4,2198.65,38.61,540.0,-257.0,6891.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
411.0,154.0,1659.0,24.83,0.65,-0.05,780,0.7,0.8,130,26350.0,780,2145.6,2294.9,845,,1699.45,21.23,,,1.0,2026-08-25,True,False,True,True,OK,24154.900390625,2026-08-18,7,0.019178082191780823
